gdrive_id,filename,gdrive_path,file_type,language,last_modified
1ljFJbaQUV8kuB7rY31CyJ-H0HQGYRQrt,Copy of Payment options,,unknown,English (assumed),Jan 15
1s4C9aInneJyVvgBZrDH-yEmVxM0eoHer,Payment options,,unknown,English (assumed),Jan 15
1hfNcxbDfzAS1YLpPl_HofaWLkfsEywgj,You Can Pay Any Amount.jpeg,,image,English (assumed),May 19
1Rm34MWTyIOF-1mZzxaqCt-x-qQOCgEcT,2015.378440.Aatm-Bodh_text.pdf,Aatmbodh hindi,pdf,English (assumed),12/8/21
1rhsSk0-epvRoiBsNYzfn22l_ozOKRTUJ,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,Aatmbodh hindi,image,English (assumed),11/17/22
1PsDOigGPq2KR-yN3T26Vsq2RH247SkAc,Prakashika-10 Abhigyan Shankuntal.pdf,Abhigyan shakuntalam,pdf,English (assumed),9/16/25
1Jd537S5fa3g3ll0-NfcAadtEbux9yOIg,WG463-1981-AkashBhairavaKalpamOfUmaMaheshwara.pdf,Akash bhairav kalpam,pdf,English (assumed),7/31/23
1QKX13iLpeVj-va6BlHNQP1iF7MPhgl49,Ancient Indian Scientific Thought (1).pdf,Ancient Indian scientist,pdf,English (assumed),1/13/25
1DjBp7lNkJWZ96uS1cLJNKRgTPCgsClbt,Arthasastra Hindi Translation Udayvir Shastri.pdf,Arthshastra,pdf,Hindi/Sanskrit,1/20/24
1o7HTC_eRX1c1mKJ-Z04KtXpRNTWeC7mh,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,Aryabhatta (English),image,English (assumed),11/17/22
1TWynKqEYuym9azoqyg8D7d-0zEiOCStY,aryabhata_with_english_commentary.pdf,Aryabhatta (English),pdf,English,7/17/21
1cR-Jd8xwALaLEkdFCRTiDF7nwoP4svS3,Aditya Hridyam Stotram.pdf,Astang hridyam hindi,pdf,English (assumed),7/1/24
1fuRqch83jWRVn1_Wuzua-F80zTw-VlfK,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,Astang hridyam hindi,image,English (assumed),11/17/22
10j73gU3zNNh1fanQ1Ym_Y2sybXfFR_20,Hindi Book-Astanga-hrdayam.pdf,Astang hridyam hindi,pdf,Hindi/Sanskrit,8/6/21
1zy-HlI5srbrn3l_SuJEGjy6xbINcxJgc,28Nakshatras-TheRealSecretsofVedicAstrologyAne-book.docx,Astrology (English),docx,Hindi/Sanskrit,8/4/21
1YXfDFOo62Ce9GntDJXhIjVHQ6MftkxP1,BPHS - 1 RSanthanam.pdf,Astrology (English),pdf,English (assumed),8/4/21
1-9b6iHA8xawd5zaEfgxu9YwuO7ONybbX,BPHS - 2 RSanthanam.pdf,Astrology (English),pdf,English (assumed),8/4/21
1wyhX5lKUFQ6hrIr3jdfuPnLIpabv4Uov,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,Astrology (English),image,English (assumed),11/17/22
1-IfD8wir7qrU6flP-bq60fsMQvufFKRX,Nakshatras complete.pdf,Astrology (English),pdf,English (assumed),8/4/21
1-F5iZSaIz6Gn2PXFddsq6uo_RjJot17M,Prashna Jyotish ( PDFDrive.com ).pdf,Astrology (English),pdf,English (assumed),8/4/21
1-J2PQt1rWgqaa8yKI4f7iEaADhfY7C_B,raman-how-to-judge-horoscope-1.pdf,Astrology (English),pdf,English (assumed),8/4/21
1-Jkp6oQDdGty6xNbPuZ_ytdb__3ex6pP,raman-how-to-judge-horoscope-2.pdf,Astrology (English),pdf,English (assumed),8/4/21
1-LujFlGuIuN1MbuakmExuNysnNoxKkoV,vedic_astro_textbook.pdf,Astrology (English),pdf,Hindi/Sanskrit,8/4/21
1XsFGNqxMCwCkPP7FIx9-jPRVHWp5iDFm,Arogyanidhi2.pdf,Ayurveda hindi,pdf,English (assumed),7/22/21
1XrtIE86YxbxEgQebT3pnQEKBHrd_GBeV,Arogyanidhii.pdf,Ayurveda hindi,pdf,English (assumed),7/22/21
1HCGGrflt9p6qwmxamQ0ED9QgPQkfGoVW,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,Ayurveda hindi,image,English (assumed),11/17/22
1XZmPWYZ8JxSuoPEUSoReD5MvhlcSLLgf,SARAL_ROGOPCHAR_gujarati.pdf,Ayurveda hindi,pdf,Other Indic,7/22/21
1XkhMfktvnxKtvlTBjLJUUl7juXyJ73-J,SadhakSanjivani.pdf,Ayurveda hindi,pdf,English (assumed),7/22/21
1XW81YbtDMfWdIqkbqZRGP6lTNulijrbI,Vividh_Chikitsa.PDF,Ayurveda hindi,pdf,English (assumed),7/22/21
1X_iE21Eh3H3kSj_j18u7jwAIsK95l_ai,Vividh_Chikitsa_no__6_.pdf,Ayurveda hindi,pdf,English (assumed),7/22/21
1XnsXj3cOfo9_4wU3C8gnc9gNbdVf9gsN,sadhak_sanjivini_sanskrit_hindi.pdf,Ayurveda hindi,pdf,Hindi/Sanskrit,7/22/21
1NXldjKls2AwzdQzF1oIpBeGEWDB1ol0_,shri-bagla-sahsranaam-stotram.pdf,Baglamukhi sahstra naam,pdf,English (assumed),9/27/25
1j1P2-tJxlYBNP4t38vq29qEyxeuBEGII,श्री_मद्भागवत_महापुराण_द्वितीय_खण्ड.pdf,Bhagwat,pdf,Devanagari,7/11/24
1otcJjIQXNG33FiiIKgbmxGdmmCIKLr7j,श्री_मद्भागवत_महापुराण_प्रथम_खण्ड.pdf,Bhagwat,pdf,Devanagari,7/11/24
1O9frkBAG7ZgfBaf9DULaEoxcGp2qXTi4,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,Bhagwat Geeta as it is (Prabhupada),image,English (assumed),11/17/22
1Rqxlkve-qic2_ufZw5-aoHX4kBYZVMeM,bhagavad-gita-as-it-is.pdf,Bhagwat Geeta as it is (Prabhupada),pdf,English (assumed),12/8/21
1SOfFR1UQGenRlP8KRQS5gliswT5OTWIh,455_gita_roman (1).pdf,Bhagwat geeta (English),pdf,English (assumed),7/17/21
1rkLijdeyb5Nbbx1u8pzanWlzJumJVxeL,Bhagavad-gita-Swami-BG-Narasingha.pdf,Bhagwat geeta (English),pdf,English (assumed),4/8/23
1hv8Ft52bcwl3_TUVeiZfB8kCplEST_SF,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,Bhagwat geeta (English),image,English (assumed),11/17/22
1HCJ-o3MHkrJSj0tSxrvFmj4q0c76nLb6,Telugu-Bhagavad-gita-His-Divine-Grace-AC-Bhaktivedanta-Swami-Prabhupada (1).pdf,Bhagwat geeta (Telugu),pdf,Hindi/Sanskrit,12/23/25
1S5qhgH3V3-l0i-Q9IDiThyHJZL4PZVZr,unencrypted-geeta.pdf,Bhagwat geeta (hindi),pdf,English (assumed),7/17/21
113lqyA5is5MojJlfrsKh7ZM2hQqZaMJU,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,Bhagwat geeta (punjabi),image,English (assumed),11/17/22
