uuid,sha256,original_filename,relative_path,mime_type,extension,file_size_bytes,page_count,language,script,ocr_required,native_pdf,mixed_pdf,author,publisher,edition,title,subject,import_timestamp,processing_status,pipeline_version,metadata_confidence,extraction_method,notes
BOOK-e3d27087,a0cf9c6b5db3e14d7f78b3ebacb1a430d31a83e6a2db9d8654faed02c93d4f33,2015.378440.Aatm-Bodh_text.pdf,knowledge/raw/source_library/Aatmbodh hindi/2015.378440.Aatm-Bodh_text.pdf,application/pdf,.pdf,2873871,36,hindi,devanagari,False,True,False,"Sudhir ""naman""",,,Aatm Bodh,IIIT,2026-07-11T17:20:15Z,pending,0.1.0,0.8,pymupdf,
BOOK-b10735d4,b3d210288ea2a002079966784610bdaa23f0af7b67d43b602c8023428c731bfc,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,knowledge/raw/source_library/Aatmbodh hindi/D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,image/jpeg,.jpeg,377375,0,hindi,unknown,True,False,False,,,,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971,,2026-07-11T17:20:15Z,pending,0.1.0,0.4,filename_heuristic,
BOOK-b691aabe,a6ec0ba5189c1b61a36fe16b7b678c8775d26286ee4464fb0cdb39d96eda5ba5,Prakashika-10 Abhigyan Shankuntal.pdf,knowledge/raw/source_library/Abhigyan shakuntalam/Prakashika-10 Abhigyan Shankuntal.pdf,application/pdf,.pdf,5033222,262,english,latin,False,True,False,Anil,,,Prakashika-10 Abhigyan Shankuntal,,2026-07-11T17:20:15Z,pending,0.1.0,0.8,pymupdf,
BOOK-bddfac0e,4bd88e17340453130ee46d54c76342bbd6d6fa94157ca3e7dd0dce0194a09854,WG463-1981-AkashBhairavaKalpamOfUmaMaheshwara.pdf,knowledge/raw/source_library/Akash bhairav kalpam/WG463-1981-AkashBhairavaKalpamOfUmaMaheshwara.pdf,application/pdf,.pdf,82057898,345,unknown,unknown,True,False,False,,,,WG463-1981-AkashBhairavaKalpamOfUmaMaheshwara,,2026-07-11T17:20:15Z,pending,0.1.0,0.8,pymupdf,
BOOK-4e48d43d,030ca28c36ff1333e900ca73ed57f133f70bd6fc57734bcbf23c2769fafef288,Ancient Indian Scientific Thought (1).pdf,knowledge/raw/source_library/Ancient Indian scientist/Ancient Indian Scientific Thought (1).pdf,application/pdf,.pdf,6295050,108,english,latin,False,True,False,,,,Ancient Indian Scientific Thought,,2026-07-11T17:20:15Z,pending,0.1.0,0.8,pymupdf,
BOOK-232f2f95,e5e65f5a6e60f1801d148585bb8a4005408492561dd0313b55792620972ba6a3,Arthasastra Hindi Translation Udayvir Shastri.pdf,knowledge/raw/source_library/Arthshastra/Arthasastra Hindi Translation Udayvir Shastri.pdf,application/pdf,.pdf,82422564,1020,hindi,unknown,True,False,False,,,,Arthasastra Hindi Translation Udayvir Shastri,,2026-07-11T17:20:15Z,pending,0.1.0,0.8,pymupdf,
BOOK-b10735d4,b3d210288ea2a002079966784610bdaa23f0af7b67d43b602c8023428c731bfc,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,knowledge/raw/source_library/Aryabhatta (English)/D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,image/jpeg,.jpeg,377375,0,english,unknown,True,False,False,,,,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971,,2026-07-11T17:20:15Z,pending,0.1.0,0.4,filename_heuristic,
BOOK-20f7722d,01c9d9b02b0fe5de8563da1ad1dd36c3842049717725f2cbcdbad239b474d63a,aryabhata_with_english_commentary.pdf,knowledge/raw/source_library/Aryabhatta (English)/aryabhata_with_english_commentary.pdf,application/pdf,.pdf,10325018,294,hindi,devanagari,True,False,True,A K Upadhyay,,,Aryabhatiya.pub,,2026-07-11T17:20:15Z,pending,0.1.0,0.8,pymupdf,
BOOK-1ca1ff7b,1d4b0bcd6b005ff862954b86ba41a3d5d2d1e10648025353a458d9f4ae97ad18,Aditya Hridyam Stotram.pdf,knowledge/raw/source_library/Astang hridyam hindi/Aditya Hridyam Stotram.pdf,application/pdf,.pdf,669385,17,sanskrit,devanagari,False,True,False,,,,Aditya Hridyam Stotram,,2026-07-11T17:20:15Z,pending,0.1.0,0.8,pymupdf,
BOOK-b10735d4,b3d210288ea2a002079966784610bdaa23f0af7b67d43b602c8023428c731bfc,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,knowledge/raw/source_library/Astang hridyam hindi/D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,image/jpeg,.jpeg,377375,0,hindi,unknown,True,False,False,,,,D48AE4C9-6BBA-409E-BBF1-535B6DC6C971,,2026-07-11T17:20:15Z,pending,0.1.0,0.4,filename_heuristic,
