filename,field,severity,message,current_value
2015.378440.Aatm-Bodh_text.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Prakashika-10 Abhigyan Shankuntal.pdf,publisher,info,Publisher not extracted,
WG463-1981-AkashBhairavaKalpamOfUmaMaheshwara.pdf,author,warning,Author not extracted,
WG463-1981-AkashBhairavaKalpamOfUmaMaheshwara.pdf,publisher,info,Publisher not extracted,
Ancient Indian Scientific Thought (1).pdf,author,warning,Author not extracted,
Ancient Indian Scientific Thought (1).pdf,publisher,info,Publisher not extracted,
Arthasastra Hindi Translation Udayvir Shastri.pdf,author,warning,Author not extracted,
Arthasastra Hindi Translation Udayvir Shastri.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
aryabhata_with_english_commentary.pdf,publisher,info,Publisher not extracted,
Aditya Hridyam Stotram.pdf,author,warning,Author not extracted,
Aditya Hridyam Stotram.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Hindi Book-Astanga-hrdayam.pdf,author,warning,Author not extracted,
Hindi Book-Astanga-hrdayam.pdf,publisher,info,Publisher not extracted,
28Nakshatras-TheRealSecretsofVedicAstrologyAne-book.docx,author,warning,Author not extracted,
28Nakshatras-TheRealSecretsofVedicAstrologyAne-book.docx,publisher,info,Publisher not extracted,
BPHS - 1 RSanthanam.pdf,author,warning,Author not extracted,
BPHS - 1 RSanthanam.pdf,publisher,info,Publisher not extracted,
BPHS - 2 RSanthanam.pdf,author,warning,Author not extracted,
BPHS - 2 RSanthanam.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Nakshatras complete.pdf,author,warning,Author not extracted,
Nakshatras complete.pdf,publisher,info,Publisher not extracted,
Prashna Jyotish ( PDFDrive.com ).pdf,author,warning,Author not extracted,
Prashna Jyotish ( PDFDrive.com ).pdf,publisher,info,Publisher not extracted,
raman-how-to-judge-horoscope-1.pdf,publisher,info,Publisher not extracted,
raman-how-to-judge-horoscope-2.pdf,publisher,info,Publisher not extracted,
vedic_astro_textbook.pdf,publisher,info,Publisher not extracted,
Arogyanidhi2.pdf,publisher,info,Publisher not extracted,
Arogyanidhii.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
SARAL_ROGOPCHAR_gujarati.pdf,publisher,info,Publisher not extracted,
SadhakSanjivani.pdf,author,warning,Author not extracted,
SadhakSanjivani.pdf,publisher,info,Publisher not extracted,
Vividh_Chikitsa.PDF,publisher,info,Publisher not extracted,
Vividh_Chikitsa_no__6_.pdf,publisher,info,Publisher not extracted,
sadhak_sanjivini_sanskrit_hindi.pdf,publisher,info,Publisher not extracted,
shri-bagla-sahsranaam-stotram.pdf,publisher,info,Publisher not extracted,
श्री_मद्भागवत_महापुराण_द्वितीय_खण्ड.pdf,publisher,info,Publisher not extracted,
श्री_मद्भागवत_महापुराण_प्रथम_खण्ड.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
bhagavad-gita-as-it-is.pdf,publisher,info,Publisher not extracted,
455_gita_roman (1).pdf,publisher,info,Publisher not extracted,
Bhagavad-gita-Swami-BG-Narasingha.pdf,author,warning,Author not extracted,
Bhagavad-gita-Swami-BG-Narasingha.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
Telugu-Bhagavad-gita-His-Divine-Grace-AC-Bhaktivedanta-Swami-Prabhupada (1).pdf,author,warning,Author not extracted,
Telugu-Bhagavad-gita-His-Divine-Grace-AC-Bhaktivedanta-Swami-Prabhupada (1).pdf,publisher,info,Publisher not extracted,
unencrypted-geeta.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
full-punjabi-geeta.pdf,publisher,info,Publisher not extracted,
Bhagavad-gita Bengali.pdf,author,warning,Author not extracted,
Bhagavad-gita Bengali.pdf,publisher,info,Publisher not extracted,
Bhaktmal.pdf,title,warning,Title is empty or same as filename,Bhaktmal.pdf
Bhaktmal.pdf,author,warning,Author not extracted,
Bhaktmal.pdf,publisher,info,Publisher not extracted,
श्रीभक्तमाल.pdf,author,warning,Author not extracted,
श्रीभक्तमाल.pdf,publisher,info,Publisher not extracted,
Bhavishya malika book.pdf,publisher,info,Publisher not extracted,
Bhavishya-Malika-in-Hindi.pdf,author,warning,Author not extracted,
Bhavishya-Malika-in-Hindi.pdf,publisher,info,Publisher not extracted,
instapdf.in-bhavishya-malika-book-691.pdf,author,warning,Author not extracted,
instapdf.in-bhavishya-malika-book-691.pdf,publisher,info,Publisher not extracted,
भविष्य मालिका putin.pdf,publisher,info,Publisher not extracted,
Brahmacharya Ki Shakti by Swami Rama Tirtha.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
brihaspatisutrao00brharich.pdf,publisher,info,Publisher not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,author,warning,Author not extracted,
D48AE4C9-6BBA-409E-BBF1-535B6DC6C971.jpeg,publisher,info,Publisher not extracted,
bhrigu-samhita-hindi1.pdf,publisher,info,Publisher not extracted,
Copy of _सत्यवादी_राजा_हरिश्चंद्र_की_कथा.pdf,author,warning,Author not extracted,
Copy of _सत्यवादी_राजा_हरिश्चंद्र_की_कथा.pdf,publisher,info,Publisher not extracted,
Copy of आर्यभट्ट ( Hindi ).pdf,publisher,info,Publisher not extracted,
Copy of आर्यभट्ट.pdf,author,warning,Author not extracted,
Copy of आर्यभट्ट.pdf,publisher,info,Publisher not extracted,
Copy of एकलव्य.pdf,author,warning,Author not extracted,
Copy of एकलव्य.pdf,publisher,info,Publisher not extracted,
Copy of कार्तिकेय.pdf,author,warning,Author not extracted,
Copy of कार्तिकेय.pdf,publisher,info,Publisher not extracted,
Copy of छत्रपति शिवाजी ( Hindi ).pdf,publisher,info,Publisher not extracted,
Copy of छत्रपति शिवाजी.pdf,author,warning,Author not extracted,
Copy of छत्रपति शिवाजी.pdf,publisher,info,Publisher not extracted,
Copy of जगद्गुरु शंकराचार्य.pdf,author,warning,Author not extracted,
Copy of जगद्गुरु शंकराचार्य.pdf,publisher,info,Publisher not extracted,
Copy of जीजाबाई.pdf,author,warning,Author not extracted,
Copy of जीजाबाई.pdf,publisher,info,Publisher not extracted,
Copy of डॉ. हेडगेवार.pdf,author,warning,Author not extracted,
Copy of डॉ. हेडगेवार.pdf,publisher,info,Publisher not extracted,
Copy of नेताजी सुभाषचंद्र बोस.pdf,author,warning,Author not extracted,
Copy of नेताजी सुभाषचंद्र बोस.pdf,publisher,info,Publisher not extracted,
Copy of पंडित_दीनदयाल_उपाध्याय.pdf,author,warning,Author not extracted,
Copy of पंडित_दीनदयाल_उपाध्याय.pdf,publisher,info,Publisher not extracted,
Copy of भक्त प्रहलाद.pdf,author,warning,Author not extracted,
Copy of भक्त प्रहलाद.pdf,publisher,info,Publisher not extracted,
Copy of भगत सिंह.pdf,author,warning,Author not extracted,
Copy of भगत सिंह.pdf,publisher,info,Publisher not extracted,
Copy of भगीरथ.pdf,author,warning,Author not extracted,
