filename,filepath,sha256,metadata_completeness,ocr_readiness,native_text_quality,structural_quality,parsing_complexity,language_confidence,duplicate_confidence,corruption_risk,overall_score,score_explanations,needs_ocr,is_duplicate,is_corrupted,is_empty
bhagavad-gita-as-it-is.pdf,knowledge/raw/source_library/Bhagwat Geeta as it is (Prabhupada)/bhagavad-gita-as-it-is.pdf,,66.7,50.0,95.0,80.0,60.0,30.0,95.0,95.0,74.3,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (1340 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
5_6334447321257870315.pdf,knowledge/raw/source_library/Puran (hindi)/5_6334447321257870315.pdf,,66.7,50.0,95.0,80.0,75.0,30.0,95.0,95.0,74.3,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (2400 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
agni Puran 4.pdf,knowledge/raw/source_library/Purans (english)/agni Puran 4.pdf,,66.7,50.0,95.0,80.0,60.0,30.0,95.0,95.0,74.3,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (662 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Rig Veda Telugu.pdf,knowledge/raw/source_library/Ved (telgu)/Rig Veda Telugu.pdf,,66.7,50.0,95.0,80.0,60.0,30.0,95.0,95.0,74.3,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (1158 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Vividh_Chikitsa.PDF,knowledge/raw/source_library/Ayurveda hindi/Vividh_Chikitsa.PDF,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (3348 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Vividh_Chikitsa_no__6_.pdf,knowledge/raw/source_library/Ayurveda hindi/Vividh_Chikitsa_no__6_.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (3806 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
sadhak_sanjivini_sanskrit_hindi.pdf,knowledge/raw/source_library/Ayurveda hindi/sadhak_sanjivini_sanskrit_hindi.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (3432 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
full-punjabi-geeta.pdf,knowledge/raw/source_library/Bhagwat geeta (punjabi)/full-punjabi-geeta.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (4232 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Divya_prerna_prakash.pdf,knowledge/raw/source_library/GRANTHS(Hindi&amp;English)/Divya_prerna_prakash.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (2647 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Manglacharana.pdf,knowledge/raw/source_library/GRANTHS(Hindi&amp;English)/Manglacharana.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (3375 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Narad_Bhakti_Shandilya_1p65.pdf,knowledge/raw/source_library/GRANTHS(Hindi&amp;English)/Narad_Bhakti_Shandilya_1p65.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (2900 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Nitnem in Devanagari_hindi_english.pdf,knowledge/raw/source_library/GRANTHS(Hindi&amp;English)/Nitnem in Devanagari_hindi_english.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (1119 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Prasad.pdf,knowledge/raw/source_library/GRANTHS(Hindi&amp;English)/Prasad.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (3929 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Vastu-for-House-eBook.pdf,knowledge/raw/source_library/GRANTHS(Hindi&amp;English)/Vastu-for-House-eBook.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (1623 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
nayanar.pdf,knowledge/raw/source_library/GRANTHS(Hindi&amp;English)/nayanar.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (2188 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
om1.pdf,knowledge/raw/source_library/GRANTHS(Hindi&amp;English)/om1.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (1097 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
DeviMahatmyam_sanskrit_text_with_malayalam_translation.pdf,knowledge/raw/source_library/Malayalam/DeviMahatmyam_sanskrit_text_with_malayalam_translation.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (718 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Agni Puran 2.pdf,knowledge/raw/source_library/Purans (english)/Agni Puran 2.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (1185 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Agni puran 3.pdf,knowledge/raw/source_library/Purans (english)/Agni puran 3.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (757 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Padma Puran 3.pdf,knowledge/raw/source_library/Purans (english)/Padma Puran 3.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (988 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Padma Puran 7.pdf,knowledge/raw/source_library/Purans (english)/Padma Puran 7.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (1146 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Padma Puran 8.pdf,knowledge/raw/source_library/Purans (english)/Padma Puran 8.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (1252 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Padma Puran 9.pdf,knowledge/raw/source_library/Purans (english)/Padma Puran 9.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (1148 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Skand puran 11.pdf,knowledge/raw/source_library/Purans (english)/Skand puran 11.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (729 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Skand puran 12.pdf,knowledge/raw/source_library/Purans (english)/Skand puran 12.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (816 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Skand puran 13.pdf,knowledge/raw/source_library/Purans (english)/Skand puran 13.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (2009 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Skand puran 14.pdf,knowledge/raw/source_library/Purans (english)/Skand puran 14.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (709 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Skand puran 15.pdf,knowledge/raw/source_library/Purans (english)/Skand puran 15.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (890 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Skand puran 18.pdf,knowledge/raw/source_library/Purans (english)/Skand puran 18.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (670 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Skand puran 20.pdf,knowledge/raw/source_library/Purans (english)/Skand puran 20.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (863 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Skand puran 21.pdf,knowledge/raw/source_library/Purans (english)/Skand puran 21.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (602 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Skand puran 22.pdf,knowledge/raw/source_library/Purans (english)/Skand puran 22.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (546 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Skand puran 4.pdf,knowledge/raw/source_library/Purans (english)/Skand puran 4.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (887 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
manas1_i.pdf,knowledge/raw/source_library/Ramcharitra manas/manas1_i.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (1296 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
Shiva Svarodaya with Bhasha Tika by Pt. Mihira Chandra - Khemaraja_text 2.pdf,knowledge/raw/source_library/Shiv sarvodya (hindi)/Shiva Svarodaya with Bhasha Tika by Pt. Mihira Chandra - Khemaraja_text 2.pdf,,66.7,50.0,95.0,70.0,60.0,30.0,95.0,95.0,72.8,"{""metadata"": ""4/6 fields present"", ""ocr"": ""No classification data"", ""text_quality"": ""Dense text (609 chars/page avg)"", ""language"": ""No language detection"", ""duplicate"": ""Unique content""}",False,False,False,False
